_id,userId,name,email,mobile,dateOfBirth,gender,state,district,city,levelPlayed,representedTeam,height,weight,profilePicture
prof_0001,usr_0001,Priya Sharma,athlete001@demo.kreedatech.local,+91 7075810470,2001-06-08,female,Tamil Nadu,Chennai,T. Nagar,State,Rajasthan Royals Academy,156,56,https://api.dicebear.com/7.x/avataaars/svg?seed=Priya%20Sharma
prof_0002,usr_0002,Sonam Malhotra,athlete002@demo.kreedatech.local,+91 9747397696,2006-12-20,female,Haryana,Gurugram,Golf Course Road,State,Goa Athletics Association,158,58,https://api.dicebear.com/7.x/avataaars/svg?seed=Sonam%20Malhotra
prof_0003,usr_0003,Shruti Pandey,athlete003@demo.kreedatech.local,+91 9311853158,2002-12-04,female,Maharashtra,Mumbai,Thane,National,Tamil Nadu Tigers,157,60,https://api.dicebear.com/7.x/avataaars/svg?seed=Shruti%20Pandey
prof_0004,usr_0004,Sachin Deshmukh,athlete004@demo.kreedatech.local,+91 9754893274,1998-01-23,male,Punjab,Ludhiana,Civil Lines,District,Goa Athletics Association,171,68,https://api.dicebear.com/7.x/avataaars/svg?seed=Sachin%20Deshmukh
prof_0005,usr_0005,Kabir Banerjee,athlete005@demo.kreedatech.local,+91 9427040689,2006-11-06,male,Bihar,Patna,Rajendra Nagar,District,Rajasthan Royals Academy,170,82,https://api.dicebear.com/7.x/avataaars/svg?seed=Kabir%20Banerjee
prof_0006,usr_0006,Aman Dutta,athlete006@demo.kreedatech.local,+91 9462639510,1998-10-24,male,Haryana,Gurugram,Golf Course Road,District,Hyderabad Strikers,179,82,https://api.dicebear.com/7.x/avataaars/svg?seed=Aman%20Dutta
prof_0007,usr_0007,Sanjay Khanna,athlete007@demo.kreedatech.local,+91 9316466952,2002-05-21,male,Karnataka,Bangalore,Indiranagar,National,Kolkata Runners,192,75,https://api.dicebear.com/7.x/avataaars/svg?seed=Sanjay%20Khanna
prof_0008,usr_0008,Pooja Kapoor,athlete008@demo.kreedatech.local,+91 7053707304,2002-07-18,female,Bihar,Patna,Kankarbagh,State,UP Strikers,177,71,https://api.dicebear.com/7.x/avataaars/svg?seed=Pooja%20Kapoor
prof_0009,usr_0009,Priya Chawla,athlete009@demo.kreedatech.local,+91 8817671796,2007-01-10,female,Punjab,Ludhiana,Civil Lines,District,Mumbai Warriors AC,160,58,https://api.dicebear.com/7.x/avataaars/svg?seed=Priya%20Chawla
prof_0010,usr_0010,Anirudh Verma,athlete010@demo.kreedatech.local,+91 9851355438,2004-08-16,male,Telangana,Hyderabad,Banjara Hills,State,Mumbai Warriors AC,167,72,https://api.dicebear.com/7.x/avataaars/svg?seed=Anirudh%20Verma
prof_0011,usr_0011,Shiva Chowdhury,athlete011@demo.kreedatech.local,+91 9383307212,2000-08-07,male,Tamil Nadu,Chennai,T. Nagar,District,Punjab Lions FC,180,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Shiva%20Chowdhury
prof_0012,usr_0012,Rohan Patel,athlete012@demo.kreedatech.local,+91 9332753873,1997-03-24,male,Uttar Pradesh,Kanpur,Civil Lines,National,Kerala Blasters Youth,169,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Rohan%20Patel
prof_0013,usr_0013,Isha Mehta,athlete013@demo.kreedatech.local,+91 8810595351,2005-02-05,female,Delhi,Noida,Sector 137,District,Delhi Capitals Academy,159,54,https://api.dicebear.com/7.x/avataaars/svg?seed=Isha%20Mehta
prof_0014,usr_0014,Swati Tiwari,athlete014@demo.kreedatech.local,+91 8887618396,1997-04-26,female,Maharashtra,Nashik,Indira Nagar,District,Kerala Blasters Youth,174,56,https://api.dicebear.com/7.x/avataaars/svg?seed=Swati%20Tiwari
prof_0015,usr_0015,Suraj Patil,athlete015@demo.kreedatech.local,+91 9771788165,1998-07-08,male,Bihar,Patna,Kankarbagh,District,Kolkata Runners,190,72,https://api.dicebear.com/7.x/avataaars/svg?seed=Suraj%20Patil
prof_0016,usr_0016,Sameer Patil,athlete016@demo.kreedatech.local,+91 7024113476,2004-08-19,male,Maharashtra,Nagpur,Dharampeth,National,Rajasthan Royals Academy,167,65,https://api.dicebear.com/7.x/avataaars/svg?seed=Sameer%20Patil
prof_0017,usr_0017,Aarav Rao,athlete017@demo.kreedatech.local,+91 8722817893,1998-11-19,male,Punjab,Amritsar,Ranjit Avenue,District,Rajasthan Royals Academy,174,80,https://api.dicebear.com/7.x/avataaars/svg?seed=Aarav%20Rao
prof_0018,usr_0018,Priya Reddy,athlete018@demo.kreedatech.local,+91 9378691820,2003-08-15,female,Uttar Pradesh,Agra,Sanjay Place,District,Kerala Blasters Youth,166,58,https://api.dicebear.com/7.x/avataaars/svg?seed=Priya%20Reddy
prof_0019,usr_0019,Pooja Singh,athlete019@demo.kreedatech.local,+91 9323955929,2000-11-01,female,West Bengal,Kolkata,Salt Lake,District,Haryana Heroes,169,57,https://api.dicebear.com/7.x/avataaars/svg?seed=Pooja%20Singh
prof_0020,usr_0020,Deepak Mehta,athlete020@demo.kreedatech.local,+91 8720357373,1996-11-26,male,Maharashtra,Nashik,Panchavati,State,Rajasthan Royals Academy,172,79,https://api.dicebear.com/7.x/avataaars/svg?seed=Deepak%20Mehta
prof_0021,usr_0021,Praveen Pawar,athlete021@demo.kreedatech.local,+91 7048150760,2000-06-18,male,Tamil Nadu,Chennai,Velachery,District,Maharashtra Athletics Club,171,68,https://api.dicebear.com/7.x/avataaars/svg?seed=Praveen%20Pawar
prof_0022,usr_0022,Kavya Joshi,athlete022@demo.kreedatech.local,+91 9875655262,1998-07-17,female,Telangana,Hyderabad,Jubilee Hills,State,Kerala Blasters Youth,157,52,https://api.dicebear.com/7.x/avataaars/svg?seed=Kavya%20Joshi
prof_0023,usr_0023,Rohit Kapoor,athlete023@demo.kreedatech.local,+91 8876542838,2003-03-08,male,Uttar Pradesh,Agra,Sanjay Place,State,Rajasthan Royals Academy,189,87,https://api.dicebear.com/7.x/avataaars/svg?seed=Rohit%20Kapoor
prof_0024,usr_0024,Chetan Chowdhury,athlete024@demo.kreedatech.local,+91 9417036593,2008-03-09,male,Bihar,Patna,Boring Road,State,Punjab Lions FC,165,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Chetan%20Chowdhury
prof_0025,usr_0025,Riya Patil,athlete025@demo.kreedatech.local,+91 9337834609,2008-09-27,female,Karnataka,Mysore,Vijayanagar,State,UP Strikers,156,56,https://api.dicebear.com/7.x/avataaars/svg?seed=Riya%20Patil
prof_0026,usr_0026,Priya Kumar,athlete026@demo.kreedatech.local,+91 9751786519,2004-02-20,female,Bihar,Patna,Rajendra Nagar,District,Tamil Nadu Tigers,170,59,https://api.dicebear.com/7.x/avataaars/svg?seed=Priya%20Kumar
prof_0027,usr_0027,Rohit Dutta,athlete027@demo.kreedatech.local,+91 9480340829,2003-07-05,male,West Bengal,Kolkata,Park Street,District,Goa Athletics Association,181,81,https://api.dicebear.com/7.x/avataaars/svg?seed=Rohit%20Dutta
prof_0028,usr_0028,Aditya Bhat,athlete028@demo.kreedatech.local,+91 7086088831,2008-12-25,male,Telangana,Hyderabad,Gachibowli,National,Goa Athletics Association,177,78,https://api.dicebear.com/7.x/avataaars/svg?seed=Aditya%20Bhat
prof_0029,usr_0029,Yash Menon,athlete029@demo.kreedatech.local,+91 9330660094,2000-05-11,male,Haryana,Gurugram,Sector 56,District,Tamil Nadu Tigers,174,71,https://api.dicebear.com/7.x/avataaars/svg?seed=Yash%20Menon
prof_0030,usr_0030,Rahul Patil,athlete030@demo.kreedatech.local,+91 9877554160,1997-08-21,male,Bihar,Patna,Rajendra Nagar,State,Mumbai Warriors AC,174,84,https://api.dicebear.com/7.x/avataaars/svg?seed=Rahul%20Patil
prof_0031,usr_0031,Rishabh Sethi,athlete031@demo.kreedatech.local,+91 8755694708,1997-07-01,male,Bihar,Patna,Rajendra Nagar,District,Maharashtra Athletics Club,179,79,https://api.dicebear.com/7.x/avataaars/svg?seed=Rishabh%20Sethi
prof_0032,usr_0032,Meera Das,athlete032@demo.kreedatech.local,+91 7047564894,2004-05-18,female,Punjab,Amritsar,Mall Road,State,North East United Academy,154,52,https://api.dicebear.com/7.x/avataaars/svg?seed=Meera%20Das
prof_0033,usr_0033,Geeta Sharma,athlete033@demo.kreedatech.local,+91 8762105103,2004-07-21,female,West Bengal,Kolkata,Park Street,District,Hyderabad Strikers,178,64,https://api.dicebear.com/7.x/avataaars/svg?seed=Geeta%20Sharma
prof_0034,usr_0034,Kiara Gowda,athlete034@demo.kreedatech.local,+91 7069678103,1997-11-13,female,Karnataka,Bangalore,Whitefield,District,Gujarat Giants Youth,170,66,https://api.dicebear.com/7.x/avataaars/svg?seed=Kiara%20Gowda
prof_0035,usr_0035,Aditya Joshi,athlete035@demo.kreedatech.local,+91 8841555328,1998-02-25,male,Telangana,Hyderabad,Madhapur,State,Delhi Capitals Academy,184,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Aditya%20Joshi
prof_0036,usr_0036,Vikram Patil,athlete036@demo.kreedatech.local,+91 9462556465,1998-02-18,male,Bihar,Patna,Boring Road,National,Tamil Nadu Tigers,191,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Vikram%20Patil
prof_0037,usr_0037,Rohan Sethi,athlete037@demo.kreedatech.local,+91 8830611023,2005-03-16,male,Uttar Pradesh,Kanpur,Kidwai Nagar,International,Tamil Nadu Tigers,176,76,https://api.dicebear.com/7.x/avataaars/svg?seed=Rohan%20Sethi
prof_0038,usr_0038,Deepak Tripathi,athlete038@demo.kreedatech.local,+91 9359582319,2006-12-07,male,Uttar Pradesh,Varanasi,Bhelupur,National,UP Strikers,188,86,https://api.dicebear.com/7.x/avataaars/svg?seed=Deepak%20Tripathi
prof_0039,usr_0039,Vihaan Malhotra,athlete039@demo.kreedatech.local,+91 9971990728,1998-11-26,male,Delhi,Noida,Sector 18,State,Tamil Nadu Tigers,189,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Vihaan%20Malhotra
prof_0040,usr_0040,Amit Mukherjee,athlete040@demo.kreedatech.local,+91 9362050670,2007-08-15,male,Telangana,Hyderabad,Madhapur,State,Hyderabad Strikers,186,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Amit%20Mukherjee
prof_0041,usr_0041,Ayaan Das,athlete041@demo.kreedatech.local,+91 8836551647,2003-04-22,male,Karnataka,Mysore,Vijayanagar,District,Mumbai Warriors AC,183,86,https://api.dicebear.com/7.x/avataaars/svg?seed=Ayaan%20Das
prof_0042,usr_0042,Tara Chowdhury,athlete042@demo.kreedatech.local,+91 9879947991,1997-04-22,female,Tamil Nadu,Madurai,Tallakulam,International,North East United Academy,171,70,https://api.dicebear.com/7.x/avataaars/svg?seed=Tara%20Chowdhury
prof_0043,usr_0043,Reyansh Reddy,athlete043@demo.kreedatech.local,+91 9962453379,1999-12-07,male,Telangana,Hyderabad,Banjara Hills,District,UP Strikers,184,85,https://api.dicebear.com/7.x/avataaars/svg?seed=Reyansh%20Reddy
prof_0044,usr_0044,Chahat Rao,athlete044@demo.kreedatech.local,+91 8836558813,1996-02-22,female,Bihar,Patna,Boring Road,District,Bengaluru Bulls Youth,164,67,https://api.dicebear.com/7.x/avataaars/svg?seed=Chahat%20Rao
prof_0045,usr_0045,Aditya Gowda,athlete045@demo.kreedatech.local,+91 9946251979,1996-08-21,male,Uttar Pradesh,Varanasi,Sigra,International,Kolkata Runners,175,77,https://api.dicebear.com/7.x/avataaars/svg?seed=Aditya%20Gowda
prof_0046,usr_0046,Manish Shetty,athlete046@demo.kreedatech.local,+91 8824220418,2003-01-18,male,Punjab,Amritsar,Mall Road,District,Mumbai Warriors AC,178,77,https://api.dicebear.com/7.x/avataaars/svg?seed=Manish%20Shetty
prof_0047,usr_0047,Myra Pillai,athlete047@demo.kreedatech.local,+91 7043816892,2005-06-05,female,Karnataka,Mangalore,Kodialbail,State,Mumbai Warriors AC,163,64,https://api.dicebear.com/7.x/avataaars/svg?seed=Myra%20Pillai
